CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1992-1401,Pleasanton Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/04/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,2500000,2500000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,3.121,,TIC,,,,11/16/1993 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Kidder Peabody & Company Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002-0025,Newark,2002-0025.pdf (http://cdiacdocs.sto.ca.gov/2002-0025.pdf),SOLD,01/10/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,IA Dist No 34,258813,258813,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,6.258,NIC,,,09/02/2003 12:00:00 AM,09/02/2017 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,,13566,Quint & Thimmig LLP,,,,Union Bank of California,15.39,39833,,,,6470,,,,,,1000,,,
1996-0437,Pleasanton Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/05/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,5400000,5400000,0,28245,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.85,NIC,,,,07/01/1997 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Oppenheimer & Company Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,Alameda County,0.33,17600,0,0,0,0,0,0,0,0,0,0,0,0,17600
1996-0366,Piedmont Unified School District,1996-0366.pdf (http://cdiacdocs.sto.ca.gov/1996-0366.pdf),SOLD,06/18/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,4498781,4498781,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,6.335,NIC,,,08/01/2009 12:00:00 AM,08/01/2020 12:00:00 AM,YES,NOT RATED,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Griffin Kubik Stephens & Thompson Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,LeBoeuf Lamb Greene & MacRae,,,,First Trust of California NA,1.75,78781,0,0,0,0,0,0,0,0,0,0,0,0,78781
2004-0356,Pleasanton Unified School District,2004-0356.pdf (http://cdiacdocs.sto.ca.gov/2004-0356.pdf),SOLD,09/01/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series C,40705000,0,40705000,2941621,General obligation bond,K-12 School Facility,Property tax revenues,3.481,,TIC,,,,08/01/2015 12:00:00 AM,NO,S:AAA/AA-,NOT RATED,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Piper Jaffray & Co,,,,,,85000,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,1.28,522850,0,0,1000,327350,0,0,0,0,0,11675,73000,12100,12725
1998-1351,Oakland Unified School District,1998-1351.pdf (http://cdiacdocs.sto.ca.gov/1998-1351.pdf),SOLD,05/06/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series C,27045000,0,27045000,0,General obligation bond,K-12 School Facility,Property tax revenues,5.336,,TIC,,,08/01/2005 12:00:00 AM,08/01/2019 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,Salomon Smith Barney,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Harrison Taylor & Brazile,,,,US Bank Corporate Trust Services,0.75,203632.29,0,0,0,27166,0,0,0,0,0,0,76200,0,100266.29
1999-0265,Oakland Unified School District,1999-0265.pdf (http://cdiacdocs.sto.ca.gov/1999-0265.pdf),SOLD,05/06/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series E,10000000,10000000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,5.085,,TIC,,,,08/01/2023 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Comp,Unknown,Salomon Smith Barney,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,Harrison Taylor & Brazile,,,US Bank Corporate Trust Services,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,100000
2011-0704,Berkeley,2011-0704.pdf (http://cdiacdocs.sto.ca.gov/2011-0704.pdf),SOLD,06/14/2011 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Interim Financing,50000000,50000000,0,870000,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,0.268,NIC,,,,07/05/2012 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,YES,,,Wells Fargo Bank National Association,,Northcross Hill & Ach,,15700,Jones Hall A Professional Law Corp,,,,Berkeley,0.12,58650,0,0,0,6500,0,20000,0,0,0,0,0,12250,4200
2015-0471,Dublin Unified School District,2015-0471.pdf (http://cdiacdocs.sto.ca.gov/2015-0471.pdf),SOLD,04/09/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,44845000,0,44845000,7129463.55,General obligation bond,K-12 School Facility,Property tax revenues,2.418,2.624,,,,08/01/2024 12:00:00 AM,08/01/2029 12:00:00 AM,NO,S:AA-,M:Aa2,NOT RATED,NOT RATED,,,Comp,NO,Janney Montgomery Scott LLC,,,,KNN Public Finance,,34775,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,0.74,331705.11,0,0,0,183208.42,0,35000,0,13125,0,2460,0,43026.85,20109.84
1997-1170,Pleasanton Unified School District,1997-1170.pdf (http://cdiacdocs.sto.ca.gov/1997-1170.pdf),SOLD,06/18/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series B,6905283,6905283,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,5.673,NIC,,,08/01/2005 12:00:00 AM,08/01/2019 12:00:00 AM,YES,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Comp,Unknown,BancAmerica Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall A Professional Law Corp,,,,First Trust of California NA,1.28,88288,0,0,0,0,0,0,0,0,0,0,0,0,88288
1991-0735,Pleasanton Unified School District,1991-0735.pdf (http://cdiacdocs.sto.ca.gov/1991-0735.pdf),SOLD,07/29/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series F,8000000,8000000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,6.82,NIC,,,08/01/1999 12:00:00 AM,08/01/2016 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Comp,Unknown,Bank of America NT & SA,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Brown & Wood,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-1109,Pleasanton Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,6000000,6000000,0,11520,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.723,NIC,,,,06/30/1999 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,BancAmerica Robertson Stephens,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall A Professional Law Corp,,,,Alameda County,0.31,18600,0,0,0,0,0,0,0,0,0,0,0,0,18600
2005-1335,Emery Unified School District,2005-1335.pdf (http://cdiacdocs.sto.ca.gov/2005-1335.pdf),SOLD,07/21/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,6825000,0,6825000,-3061,General obligation bond,K-12 School Facility,Property tax revenues,,3.893,NIC,,,08/01/2015 12:00:00 AM,08/01/2022 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Piper Jaffray & Co,,,,Caldwell Flores Winters Inc / CFW,,0,Orrick Herrington & Sutcliffe LLP,,Orrick Herrington & Sutcliffe LLP,,U.S. Bank National Association,2.8,191133,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1382,Alameda County Industrial Development Authority,1995-1382.pdf (http://cdiacdocs.sto.ca.gov/1995-1382.pdf),SOLD,11/30/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,Heat & Control Inc Series A,7200000,7200000,0,0,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,11/01/2025 12:00:00 AM,NO,S:A/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Wells Fargo Bank National Association,Neg,Unknown,Rauscher Pierce Refsness Inc,,,,Progressive Capital,,0,Orrick Herrington & Sutcliffe LLP,,,,State Street Bank & Trust Company,3.11,223950,0,0,0,93000,0,0,0,0,0,0,0,0,0
1994-1364,Piedmont Unified School District,1994-1364.pdf (http://cdiacdocs.sto.ca.gov/1994-1364.pdf),SOLD,06/30/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series B,7201875,7201875,0,0,General obligation bond,K-12 School Facility,Property tax revenues,6.201,,TIC,,,08/01/2007 12:00:00 AM,08/01/2018 12:00:00 AM,NO,NOT RATED,M:Aa,NOT RATED,NOT RATED,,,Comp,Unknown,BA Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,0,LeBoeuf Lamb Greene & MacRae,,,,Bank of America NT & SA,0.69,50000,0,0,0,0,0,0,0,0,0,0,0,0,50000
2012-0466,Albany Unified School District,2012-0466.pdf (http://cdiacdocs.sto.ca.gov/2012-0466.pdf),SOLD,04/17/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilties,17770000,0,17770000,1648234.7,General obligation bond,K-12 School Facility,Property tax revenues,2.477,,TIC,,,08/01/2022 12:00:00 AM,08/01/2030 12:00:00 AM,NO,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Comp,NO,Stifel Nicolaus & Company Inc,,,,KNN Public Finance,,29700,Quint & Thimmig LLP,,,,U.S. Bank National Association,1.72,305404.94,0,0,0,165404.94,0,60000,0,20000,0,1536,0,15000,13764
2016-2764,Albany Unified School District,2016-2764.pdf (http://cdiacdocs.sto.ca.gov/2016-2764.pdf),SOLD,10/04/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,23500000,23500000,0,774376.25,General obligation bond,K-12 School Facility,Property tax revenues,3.125,3.164,,,,08/01/2026 12:00:00 AM,08/01/2045 12:00:00 AM,NO,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,NO,Stifel Nicolaus & Company Inc,,,,"Isom Advisors, A Division of Urban Futures, Inc",,41250,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,1.01,237080.77,0,0,82250,82250,0,66884.62,0,20000,0,1750,0,20969.23,3976.92
2012-1832,Emery Unified School District,2012-1832.pdf (http://cdiacdocs.sto.ca.gov/2012-1832.pdf),SOLD,01/31/2013 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series D,17450147,17450147,0,147840,General obligation bond,K-12 School Facility,Property tax revenues,5.306,,,,,08/01/2023 12:00:00 AM,08/01/2045 12:00:00 AM,YES,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,NO,Stone & Youngberg/Stifel Nicolaus & Co,,,,Caldwell Flores Winters Inc / CFW,,25000,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,1.52,265051,0,0,0,87251,0,90000,0,22000,0,2500,0,20000,18300
2001-1101,Albany Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/04/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilties,11390000,0,11390000,0,General obligation bond,K-12 School Facility,Property tax revenues,,4.109,NIC,,,08/01/2010 12:00:00 AM,08/01/2019 12:00:00 AM,NO,NOT RATED,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,US Bancorp Piper Jaffray,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,10.03,1142390,0,0,0,85425,0,0,0,0,0,0,0,0,0
1985-1228,New Haven Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/10/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,27040000,27039999,1,0,Certificates of participation/leases,K-12 School Facility,Property tax revenues,,9.63,NIC,,,,,N/A,S:A-(p),NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling & Co,,,,,,0,Orrick Herrington & Sutcliffe LLP,,,,,2.21,597584,0,0,0,597584,0,0,0,0,0,0,0,0,0
2015-0785,Alameda Unified School District,2015-0785.pdf (http://cdiacdocs.sto.ca.gov/2015-0785.pdf),SOLD,06/05/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilties,3405000,0,3405000,310413,General obligation bond,K-12 School Facility,Property tax revenues,3.984,4.272,,,,08/01/2025 12:00:00 AM,08/01/2027 12:00:00 AM,NO,S:AA-,M:Aa2,NOT RATED,NOT RATED,,,Neg,NO,RBC Capital Markets LLC,,,,Backstrom McCarley Berry & Co,,1936.31,Stradling Yocca Carlson & Rauth,,Stradling Yocca Carlson & Rauth,,U.S. Bank National Association,1.5,51004.25,5720.4,0,0,5720.4,0,35000,0,1000,0,2585,0,2866.39,1896.15
1995-1340,Alameda County Industrial Development Authority,1995-1340.pdf (http://cdiacdocs.sto.ca.gov/1995-1340.pdf),SOLD,10/19/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,JMS Family Partnership Series A,5000000,5000000,0,0,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,10/01/2025 12:00:00 AM,NO,S:A/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Wells Fargo Bank National Association,Neg,Unknown,Rauscher Pierce Refsness Inc,,,,Progressive Capital,,0,Orrick Herrington & Sutcliffe LLP,,,,State Street Bank & Trust Company,1.6,79845,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1185,San Leandro Unified School District,1997-1185.pdf (http://cdiacdocs.sto.ca.gov/1997-1185.pdf),SOLD,07/15/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,15500000,15500000,0,110907.75,General obligation bond,K-12 School Facility,Property tax revenues,5.096,5.102,NIC,,,08/01/2004 12:00:00 AM,08/01/2022 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall A Professional Law Corp,,,,First Trust of California NA,0.67,104315,0,0,81915,81915,0,0,0,0,0,0,22400,0,0
2005-1250,Albany Unified School District,2005-1250.pdf (http://cdiacdocs.sto.ca.gov/2005-1250.pdf),SOLD,08/02/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Marin & Ocean View Schools Series A,7500000,7500000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,4.211,NIC,,,08/01/2013 12:00:00 AM,08/01/2030 12:00:00 AM,NO,NOT RATED,M:Aaa/A2,NOT RATED,NOT RATED,Ins,XL Capital Assurance,Comp,Unknown,Morgan Keegan & Company Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,2.04,152995,0,0,0,33495,0,0,0,0,0,0,19500,0,100000
2006-1281,Castro Valley Unified School District,2006-1281.pdf (http://cdiacdocs.sto.ca.gov/2006-1281.pdf),SOLD,11/08/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,18565000,167790,18397210,200020,General obligation bond,K-12 School Facility,Property tax revenues,4.046,,TIC,,,08/01/2016 12:00:00 AM,08/01/2026 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,1.93,357851,0,0,0,178720,0,0,0,0,0,0,33301,0,145830
2005-1252,Castro Valley Unified School District,2005-1252.pdf (http://cdiacdocs.sto.ca.gov/2005-1252.pdf),SOLD,07/19/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,6955000,6955000,0,134872,General obligation bond,K-12 School Facility,Property tax revenues,,4.133,NIC,,,08/01/2013 12:00:00 AM,08/01/2030 12:00:00 AM,NO,S:AAA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,XL Capital Assurance,Comp,Unknown,Morgan Keegan & Company Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,1.89,131507,0,0,0,31257,0,0,0,0,0,0,17250,0,83000
1996-1894,Pleasanton Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/30/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Equipment,765000,765000,0,0,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,,VAR,,,,07/01/2016 12:00:00 AM,NO,S:AA-/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Canadian Imperial Bank of Commerce,Neg,Unknown,BT Securities Corporation,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,First Trust of California NA,1.96,15026,0,0,0,1148,0,0,0,0,0,0,0,0,13878
2011-0059,Emery Unified School District,2011-0059.pdf (http://cdiacdocs.sto.ca.gov/2011-0059.pdf),SOLD,04/07/2011 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,25499600,25499600,0,209790.1,General obligation bond,K-12 School Facility,Property tax revenues,5.998,,TIC,,,08/01/2021 12:00:00 AM,08/01/2035 12:00:00 AM,YES,S:AA+/A+,M:Aa3/Aa3,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,Unknown,Stone & Youngberg,,,,Caldwell Flores Winters Inc / CFW,,35867,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,1.91,487638.97,0,0,0,122678.58,0,145000,0,20000,0,1380,111063.39,28000,23650
2004-0004,Albany Unified School District,2004-0004.pdf (http://cdiacdocs.sto.ca.gov/2004-0004.pdf),SOLD,02/05/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series G,4600000,4600000,0,139927,General obligation bond,K-12 School Facility,Property tax revenues,4.325,,TIC,,,08/01/2012 12:00:00 AM,08/01/2028 12:00:00 AM,NO,NOT RATED,M:Aaa/A2,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,2.42,111108,0,0,0,41108,0,0,0,0,0,0,0,0,0
1998-2042,Castro Valley Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/17/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Stanton ES,3315000,0,3315000,0,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,4.037,,TIC,,,,04/01/2012 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,OConnor & Company Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,4.91,162658,0,0,0,12164,0,0,0,0,0,0,0,0,150494
2012-0043,Emery Unified School District,2012-0043.pdf (http://cdiacdocs.sto.ca.gov/2012-0043.pdf),SOLD,02/17/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Qualified School Construction Bonds Series C,7640000,7640000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,5.52,,TIC,,Federally Taxable,08/01/2022 12:00:00 AM,02/01/2032 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,All Points Capital Corporation,,Caldwell Flores Winters Inc / CFW,,42500,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,2,152800,0,0,0,0,0,59290,0,0,0,1630,0,0,49380
